,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
543,Kirakira,44,SB,1579841013,83,-10.45,161.92,80.13,4.92
547,Cururupu,100,BR,1579841283,98,-1.83,-44.87,74.26,1.48
551,Bonito,37,BR,1579841284,94,-21.12,-56.48,69.26,5.77
553,Young,0,UY,1579841285,67,-32.68,-57.63,73.99,1.01
556,Nsanje,39,MW,1579841286,91,-16.92,35.26,75.02,3.8
558,Lagunas,100,PE,1579841287,96,-5.23,-75.68,75.11,1.7
560,Dondo,70,MZ,1579841288,83,-19.61,34.74,77.65,4.45
564,Kabalo,99,CD,1579841289,94,-6.05,26.92,72.9,2.59
565,Doctor Juan Leon Mallorquin,6,PY,1579841290,96,-25.4,-55.27,64.35,3.22
567,Sampit,91,ID,1579841290,52,-2.53,112.95,94.17,0.47
579,Machado,100,BR,1579841294,99,-21.67,-45.92,66.24,1.39
581,Arica,90,CL,1579841295,83,-18.48,-70.3,71.76,4.7
586,Presidencia Roque Saenz Pena,0,AR,1579841297,81,-26.79,-60.44,69.13,3.94
587,Nacala,100,MZ,1579841297,79,-14.54,40.67,78.78,8.1
589,Camiri,94,BO,1579841298,67,-20.05,-63.52,68.41,2.21
594,Maningrida,100,AU,1579841300,83,-12.07,134.27,82.99,17.49
596,Chake Chake,100,TZ,1579841300,87,-5.25,39.77,82.35,14.09
597,Mwinilunga,100,ZM,1579841301,96,-11.74,24.43,64.45,5.1
600,Hervey Bay,90,AU,1579841131,70,-25.3,152.85,83.61,14.99
606,Acari,98,PE,1579841288,88,-15.43,-74.62,67.1,2.75
607,Itarema,100,BR,1579841304,95,-2.92,-39.92,75.25,3.51
617,Perth,0,AU,1579841029,29,-31.93,115.83,88.9,5.82
620,Vanimo,84,PG,1579841068,72,-2.67,141.3,84.0,8.77
623,Sorong,35,ID,1579841310,56,-0.88,131.25,89.33,5.77
625,Departamento de Maldonado,0,UY,1579841310,73,-34.67,-54.92,69.8,11.41
630,Luwuk,0,ID,1579841312,79,-0.95,122.79,82.85,15.86
634,Gilbues,100,BR,1579841314,98,-9.83,-45.34,69.17,2.24
635,Koungou,93,YT,1579841314,88,-12.73,45.2,82.4,13.87
636,Curuguaty,8,PY,1579841314,96,-24.47,-55.69,64.31,2.01
639,Mazagao,36,BR,1579841315,100,-0.12,-51.29,77.0,4.7
